,0
CASH,0.0
JNK,0.0009542215683539919
portfolio,0.002620916551511035
SPY,0.003057866194730189
SPHD,0.0034121355670848692
VUG,0.004186454136275876
VGT,0.004627531035936025
SRET,0.008616595049311943
